
UDP Connection Track: 13 entries, 0 missed entries.
IPV4 UDP  --> State=[ 0] Idle=   19 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.49:137],fwdpos=[150],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=   15 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.165:137],fwdpos=[150],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=   14 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.23:137],fwdpos=[150],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=   13 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.35:137],fwdpos=[150],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=   13 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.139:137],fwdpos=[150],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=    9 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.104:137],fwdpos=[150],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=    7 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.39:137],fwdpos=[150],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=    4 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.68:137],fwdpos=[150],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=    3 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.105:137],fwdpos=[150],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=    2 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.200:137],fwdpos=[300],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=    2 secs listId= 0 loc=[10.0.1.255:138] --> rem=[10.0.1.196:138],fwdpos=[201],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=    0 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.6:137],fwdpos=[25709850],bwdpos=[0]
IPV4 UDP  --> State=[ 0] Idle=    0 secs listId= 0 loc=[10.0.1.255:137] --> rem=[10.0.1.20:137],fwdpos=[56054700],bwdpos=[0]

TCP Connection Track: 65 entries, 0 missed entries.
IPV4 TCP  --> State=[ 3] Idle=   47 secs listId= 1 loc=[10.0.1.111:60158] --> rem=[10.254.254.40:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   40 secs listId= 1 loc=[10.0.1.111:59588] --> rem=[10.254.254.40:443],fwdpos=[12650],bwdpos=[2697]
IPV4 TCP  --> State=[ 3] Idle=   27 secs listId= 1 loc=[10.0.1.111:50189] --> rem=[10.254.254.40:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   24 secs listId= 1 loc=[10.0.1.111:63151] --> rem=[10.0.1.241:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   24 secs listId= 1 loc=[10.0.1.111:63150] --> rem=[10.0.1.241:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   21 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.5.5.81:57254],fwdpos=[4931],bwdpos=[1521]
IPV4 TCP  --> State=[ 3] Idle=   21 secs listId= 1 loc=[10.0.1.111:62012] --> rem=[20.38.84.96:443],fwdpos=[6618],bwdpos=[13172]
IPV4 TCP  --> State=[ 3] Idle=   18 secs listId= 1 loc=[10.0.1.111:60667] --> rem=[10.0.1.245:8080],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   18 secs listId= 1 loc=[10.0.1.111:56057] --> rem=[10.0.1.6:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   15 secs listId= 1 loc=[10.0.1.111:64518] --> rem=[10.254.254.127:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   14 secs listId= 1 loc=[10.0.1.111:59916] --> rem=[20.38.84.96:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   13 secs listId= 1 loc=[10.0.1.111:60067] --> rem=[10.254.254.127:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   11 secs listId= 1 loc=[10.0.1.111:53434] --> rem=[10.254.254.127:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=   11 secs listId= 1 loc=[10.0.1.111:64837] --> rem=[10.254.254.127:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=    8 secs listId= 1 loc=[10.0.1.111:63625] --> rem=[20.217.46.3:443],fwdpos=[2867],bwdpos=[6513]
IPV4 TCP  --> State=[ 3] Idle=    7 secs listId= 1 loc=[10.0.1.111:65178] --> rem=[10.254.254.127:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=    6 secs listId= 1 loc=[10.0.1.111:61368] --> rem=[10.254.254.127:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=    4 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.5.5.136:60876],fwdpos=[8634],bwdpos=[7084]
IPV4 TCP  --> State=[ 3] Idle=    3 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.2.0.55:57265],fwdpos=[13443],bwdpos=[16367]
IPV4 TCP  --> State=[ 3] Idle=    3 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.2.0.55:57263],fwdpos=[14956],bwdpos=[8302]
IPV4 TCP  --> State=[ 3] Idle=    3 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.2.0.55:57264],fwdpos=[14556],bwdpos=[9485]
IPV4 TCP  --> State=[ 3] Idle=    3 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.2.0.55:57262],fwdpos=[18314],bwdpos=[72062]
IPV4 TCP  --> State=[ 3] Idle=    2 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.0.1.20:49852],fwdpos=[103883911],bwdpos=[3233580445]
IPV4 TCP  --> State=[ 3] Idle=    2 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.0.1.20:49836],fwdpos=[103945258],bwdpos=[3233536088]
IPV4 TCP  --> State=[ 3] Idle=    2 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.0.1.20:49850],fwdpos=[103872587],bwdpos=[3233279920]
IPV4 TCP  --> State=[ 3] Idle=    2 secs listId= 1 loc=[10.0.1.111:445] --> rem=[10.0.1.20:49851],fwdpos=[103891560],bwdpos=[3233347770]
IPV4 TCP  --> State=[ 3] Idle=    2 secs listId= 1 loc=[10.0.1.111:60803] --> rem=[20.38.84.96:443],fwdpos=[9706],bwdpos=[8490]
IPV4 TCP  --> State=[ 3] Idle=    2 secs listId= 1 loc=[10.0.1.111:64452] --> rem=[10.0.1.245:8080],fwdpos=[8218],bwdpos=[4774]
IPV4 TCP  --> State=[ 3] Idle=    1 secs listId= 1 loc=[10.0.1.111:63004] --> rem=[10.254.254.40:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=    0 secs listId= 1 loc=[10.0.1.111:8000] --> rem=[10.0.1.254:16361],fwdpos=[101974],bwdpos=[118466141]
IPV4 TCP  --> State=[ 3] Idle=    0 secs listId= 1 loc=[10.0.1.111:62127] --> rem=[10.254.254.127:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=    0 secs listId= 1 loc=[10.0.1.111:65413] --> rem=[10.0.1.241:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=    0 secs listId= 1 loc=[10.0.1.111:63146] --> rem=[10.0.1.241:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=    0 secs listId= 1 loc=[10.0.1.111:65429] --> rem=[10.0.1.242:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=    0 secs listId= 1 loc=[10.0.1.111:65350] --> rem=[10.0.1.244:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 3] Idle=    0 secs listId= 1 loc=[10.0.1.111:56570] --> rem=[10.254.254.127:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 1] Idle=   27 secs listId= 2 loc=[10.0.1.111:64248] --> rem=[10.0.6.39:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 5] Idle=   25 secs listId= 2 loc=[10.0.1.111:64286] --> rem=[40.71.12.233:443],fwdpos=[2841],bwdpos=[6777]
IPV4 TCP  --> State=[ 1] Idle=   24 secs listId= 2 loc=[10.0.1.111:64297] --> rem=[10.0.6.39:139],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 5] Idle=   21 secs listId= 2 loc=[10.0.1.111:64371] --> rem=[10.0.6.160:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 5] Idle=   21 secs listId= 2 loc=[10.0.1.111:64378] --> rem=[10.0.2.47:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 5] Idle=   21 secs listId= 2 loc=[10.0.1.111:64385] --> rem=[10.0.2.47:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 5] Idle=   21 secs listId= 2 loc=[10.0.1.111:64386] --> rem=[10.0.2.30:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 5] Idle=   20 secs listId= 2 loc=[10.0.1.111:64398] --> rem=[10.0.2.30:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 7] Idle=   20 secs listId= 2 loc=[10.0.1.111:88] --> rem=[192.168.239.84:53706],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 1] Idle=   19 secs listId= 2 loc=[10.0.1.111:64400] --> rem=[192.168.1.75:445],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 7] Idle=   18 secs listId= 2 loc=[10.0.1.111:64438] --> rem=[10.254.254.40:443],fwdpos=[0],bwdpos=[0]
IPV4 TCP  --> State=[ 1] Idle=   17 secs listId= 2 loc=[10.0.1.111:64451] --> rem=[192.168.1.75:139],fwdpos=[0],bwdpos=[0]
