Time,Computer,Reason,Tag(s),Change,Rank,Severity,Type,Key,User,Process,Description,Event Origin
"May 12, 2025 11:09:38",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 11:06:01",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""7AD18F74F0ED0BCB87D5C8F83385374BD5919DD96CB4AFBB5660E516B3434309"" to ""FA2D5683C42DFBCCC956DCD99387A0848D857F2399C3C2617F7F26A14CDE1EEE""

After the change the File had the following attributes:

   SHA-256: FA2D5683C42DFBCCC956DCD99387A0848D857F2399C3C2617F7F26A14CDE1EEE",Agent
"May 12, 2025 11:20:22",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""7AD18F74F0ED0BCB87D5C8F83385374BD5919DD96CB4AFBB5660E516B3434309"" to ""38C405BD47567D5F4FD1B444EDD3E35183968D1D7B2D287E0D97F2AA27750565""

After the change the File had the following attributes:

   SHA-256: 38C405BD47567D5F4FD1B444EDD3E35183968D1D7B2D287E0D97F2AA27750565",Agent
"May 12, 2025 11:17:22",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 11:13:54",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""FA2D5683C42DFBCCC956DCD99387A0848D857F2399C3C2617F7F26A14CDE1EEE"" to ""7AD18F74F0ED0BCB87D5C8F83385374BD5919DD96CB4AFBB5660E516B3434309""

After the change the File had the following attributes:

   SHA-256: 7AD18F74F0ED0BCB87D5C8F83385374BD5919DD96CB4AFBB5660E516B3434309",Agent
"May 12, 2025 12:01:06",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""38C405BD47567D5F4FD1B444EDD3E35183968D1D7B2D287E0D97F2AA27750565"" to ""5BAF2FC1DCDE84B0D385CD4855CF86EC3431C0735EC44885C3A4FDFF20285C46""

After the change the File had the following attributes:

   SHA-256: 5BAF2FC1DCDE84B0D385CD4855CF86EC3431C0735EC44885C3A4FDFF20285C46",Agent
"May 12, 2025 12:26:17",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 12:20:36",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 12:37:13",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""5BAF2FC1DCDE84B0D385CD4855CF86EC3431C0735EC44885C3A4FDFF20285C46"" to ""6DCF29E6DE76DCF79938FA4AB087FB3A8C8A48B2A0472E6FEAD4E14EA5414E58""

After the change the File had the following attributes:

   SHA-256: 6DCF29E6DE76DCF79938FA4AB087FB3A8C8A48B2A0472E6FEAD4E14EA5414E58",Agent
"May 12, 2025 12:36:45",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\flighting\onesettings\refreshcache,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""D7E730E74C6E99BB112C717246681E03EE954A2B9716746FC23A37DB085AD9C8"" to ""14A0B9CDDFF5D522568E64DD3D207E7147BE1A91FA7688023C8F117C0CBD9441""

After the change the File had the following attributes:

   SHA-256: 14A0B9CDDFF5D522568E64DD3D207E7147BE1A91FA7688023C8F117C0CBD9441",Agent
"May 12, 2025 12:56:12",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""6DCF29E6DE76DCF79938FA4AB087FB3A8C8A48B2A0472E6FEAD4E14EA5414E58"" to ""11E145F02D3830468A2096D088885AF9FC239692FF32F637EE3CE1F785C6B6D7""

After the change the File had the following attributes:

   SHA-256: 11E145F02D3830468A2096D088885AF9FC239692FF32F637EE3CE1F785C6B6D7",Agent
"May 12, 2025 13:24:48",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 13:34:09",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 13:51:16",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""11E145F02D3830468A2096D088885AF9FC239692FF32F637EE3CE1F785C6B6D7"" to ""A1DC5AE499D2EB309164730A693A4D7923DADA23B8CF4E24D9AC42520AF93686""

After the change the File had the following attributes:

   SHA-256: A1DC5AE499D2EB309164730A693A4D7923DADA23B8CF4E24D9AC42520AF93686",Agent
"May 12, 2025 14:26:34",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""A1DC5AE499D2EB309164730A693A4D7923DADA23B8CF4E24D9AC42520AF93686"" to ""8CE291513775DB3C6C1288C7DC63960BCF0E63CF8B630233C951CA72E3934F51""

After the change the File had the following attributes:

   SHA-256: 8CE291513775DB3C6C1288C7DC63960BCF0E63CF8B630233C951CA72E3934F51",Agent
"May 12, 2025 14:26:05",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\flighting\onesettings\refreshcache,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""14A0B9CDDFF5D522568E64DD3D207E7147BE1A91FA7688023C8F117C0CBD9441"" to ""756FF100AF2B2408C8E02465F2BDCE171710E48C868C440A0F84A86DC092473F""

After the change the File had the following attributes:

   SHA-256: 756FF100AF2B2408C8E02465F2BDCE171710E48C868C440A0F84A86DC092473F",Agent
"May 12, 2025 14:32:59",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 14:38:23",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 14:46:21",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""8CE291513775DB3C6C1288C7DC63960BCF0E63CF8B630233C951CA72E3934F51"" to ""8DB8BDAE1C7C55114D8B244A5ABC2AF301B351A23DC1BBC47B741830B50D78D1""

After the change the File had the following attributes:

   SHA-256: 8DB8BDAE1C7C55114D8B244A5ABC2AF301B351A23DC1BBC47B741830B50D78D1",Agent
"May 12, 2025 15:39:06",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 15:41:26",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""8DB8BDAE1C7C55114D8B244A5ABC2AF301B351A23DC1BBC47B741830B50D78D1"" to ""942D1A6338392F304019023F75CC3228996C6D5EA0B1B01FEF9A6F652A576EF5""

After the change the File had the following attributes:

   SHA-256: 942D1A6338392F304019023F75CC3228996C6D5EA0B1B01FEF9A6F652A576EF5",Agent
"May 12, 2025 15:41:38",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 16:13:56",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""942D1A6338392F304019023F75CC3228996C6D5EA0B1B01FEF9A6F652A576EF5"" to ""22E3C2B15278ED71520E787708A1A7AE417E10450EF9710E1C0B64D4EBE69A6E""

After the change the File had the following attributes:

   SHA-256: 22E3C2B15278ED71520E787708A1A7AE417E10450EF9710E1C0B64D4EBE69A6E",Agent
"May 12, 2025 16:17:49",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\flighting\onesettings\refreshcache,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""756FF100AF2B2408C8E02465F2BDCE171710E48C868C440A0F84A86DC092473F"" to ""9EF04F0D3F6A3311CE19050990FC76041EE11C61C06AE506664C7C472F5FFFE5""

After the change the File had the following attributes:

   SHA-256: 9EF04F0D3F6A3311CE19050990FC76041EE11C61C06AE506664C7C472F5FFFE5",Agent
"May 12, 2025 16:18:19",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""22E3C2B15278ED71520E787708A1A7AE417E10450EF9710E1C0B64D4EBE69A6E"" to ""0B72F36C30C3C66A13D0BA7CCC717CF01BC88C950B9F69037BB66CBE4A82F66A""

After the change the File had the following attributes:

   SHA-256: 0B72F36C30C3C66A13D0BA7CCC717CF01BC88C950B9F69037BB66CBE4A82F66A",Agent
"May 12, 2025 16:36:31",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""0B72F36C30C3C66A13D0BA7CCC717CF01BC88C950B9F69037BB66CBE4A82F66A"" to ""3DC3C263B0C01093B97AA521DBCE5F301EE74AE37C1F63D773CA966F2B648598""

After the change the File had the following attributes:

   SHA-256: 3DC3C263B0C01093B97AA521DBCE5F301EE74AE37C1F63D773CA966F2B648598",Agent
"May 12, 2025 16:49:35",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 16:47:26",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 16:50:29",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 16:52:38",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 17:31:35",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""3DC3C263B0C01093B97AA521DBCE5F301EE74AE37C1F63D773CA966F2B648598"" to ""849ADAD96E6E68A25F222D4FEC973AF2E22858ED5E410871005F007EFF44CC86""

After the change the File had the following attributes:

   SHA-256: 849ADAD96E6E68A25F222D4FEC973AF2E22858ED5E410871005F007EFF44CC86",Agent
